2016-07-07 09:17:55,925 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:17:55,947 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:24:07,776 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 5 with diffParam = 0.6666666666666666
2016-07-07 09:24:07,778 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:24:07,779 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-07-07 09:24:07,782 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-07-07 09:24:07,782 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-07-07 09:24:07,782 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:24:07,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-07-07 09:24:07,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:24:07,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:24:10,567 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent2). MembershipCount is set to 4.
2016-07-07 09:24:10,584 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent1). MembershipCount is set to 4.
2016-07-07 09:24:10,588 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client agent3). MembershipCount is set to 4.
2016-07-07 09:28:00,269 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client client). MembershipCount is set to 4.
2016-07-07 09:28:04,275 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-07-07 09:28:04,294 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 6 with diffParam = 0.6666666666666666
2016-07-07 09:28:04,294 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
