2016-07-07 09:50:13,678 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:50:13,705 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:50:36,947 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 11 with diffParam = 0.6666666666666666
2016-07-07 09:50:36,948 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:50:36,948 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-07-07 09:50:36,951 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-07-07 09:50:36,951 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-07-07 09:50:36,951 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:50:36,952 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-07-07 09:50:36,952 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:50:36,952 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:50:39,252 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent_ns2). MembershipCount is set to 4.
2016-07-07 09:50:39,402 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent_mo2). MembershipCount is set to 4.
2016-07-07 09:50:39,417 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client agent_mo1). MembershipCount is set to 4.
2016-07-07 09:50:39,813 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client agent_ns1). MembershipCount is set to 4.
2016-07-07 09:50:43,820 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-07-07 09:50:43,840 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 12 with diffParam = 0.6666666666666666
2016-07-07 09:50:43,840 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:50:43,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2016-07-07 09:50:43,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0, aMarket: 37.5.
2016-07-07 09:50:43,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 62.777777777777786, oFirmB: 62.22222222222223, oFirmC: 62.22222222222223, oFirmD: 62.777777777777786.
2016-07-07 09:50:43,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:50:43,841 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0.
2016-07-07 09:50:43,842 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:50:43,842 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:50:43,931 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_ns2
2016-07-07 09:50:43,932 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_mo1
2016-07-07 09:50:43,933 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_mo2
2016-07-07 09:50:43,951 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_ns1
2016-07-07 09:50:43,951 PeriodThread INFO  server.ContinuousCompetitionInstitution - All clients reported ready stated. Sending start signal
2016-07-07 09:50:44,543 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_mo1: Set aFirmB = 37.0
2016-07-07 09:50:44,553 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 0 of cohort 12.
2016-07-07 09:50:44,564 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_ns2: Set aFirmA = 90.0
2016-07-07 09:50:44,572 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 0 of cohort 12.
2016-07-07 09:50:44,617 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_mo2: Set aFirmC = 39.0
2016-07-07 09:50:44,625 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 0 of cohort 12.
2016-07-07 09:50:44,784 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent_ns1: Set aFirmD = 30.0
2016-07-07 09:50:44,794 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 0 of cohort 12.
2016-07-07 09:50:44,794 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 90.0, aFirmB: 37.0, aFirmC: 39.0, aFirmD: 30.0, aMarket: 49.0.
2016-07-07 09:50:44,795 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 46.44444444444445, oFirmB: 52.33333333333334, oFirmC: 52.111111111111114, oFirmD: 53.111111111111114.
2016-07-07 09:50:44,795 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 52.25000000000001, profitFirmB: 24.204166666666666, profitFirmC: 25.404166666666665, profitFirmD: 19.916666666666664
2016-07-07 09:50:44,795 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: payoffs - balanceFirmA: 0.008708333333333335, balanceFirmB: 0.004034027777777778, balanceFirmC: 0.0042340277777777775, balanceFirmD: 0.003319444444444444
2016-07-07 09:50:44,801 PeriodThread INFO  server.ContinuousCompetitionInstitution - Created marketUpdate is set to global time: 0 and to countId: 0.
2016-07-07 09:50:44,837 PeriodThread INFO  server.ContinuousCompetitionInstitution - processMessage() - end of execution - processed actionUpdate with countId 0
2016-07-07 09:50:45,044 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_mo1: Set aFirmB = 44.0
2016-07-07 09:50:45,076 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 1 of cohort 12.
2016-07-07 09:50:45,077 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_ns2: Set aFirmA = 0.0
2016-07-07 09:50:45,099 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 1 of cohort 12.
2016-07-07 09:50:45,148 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_mo2: Set aFirmC = 41.0
2016-07-07 09:50:45,161 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 1 of cohort 12.
2016-07-07 09:50:45,288 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 1 from client agent_ns1: Set aFirmD = 0.0
2016-07-07 09:50:45,298 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 4 of 4 with countId 1 of cohort 12.
2016-07-07 09:50:45,298 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 44.0, aFirmC: 41.0, aFirmD: 0.0, aMarket: 21.25.
