2016-04-27 14:13:28,770 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-04-27 14:13:28,799 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-04-27 14:17:04,605 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 1 with diffParam = 0.6666666666666666
2016-04-27 14:17:04,606 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-04-27 14:17:04,606 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-04-27 14:17:04,608 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-04-27 14:17:04,609 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-04-27 14:17:04,609 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-04-27 14:17:04,610 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-04-27 14:17:04,610 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-04-27 14:17:04,611 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-04-27 14:17:07,366 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent2). MembershipCount is set to 4.
2016-04-27 14:17:08,078 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent1). MembershipCount is set to 4.
2016-04-27 14:17:12,383 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client client1). MembershipCount is set to 4.
2016-04-27 14:17:18,442 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client client2). MembershipCount is set to 4.
2016-04-27 14:17:22,451 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-04-27 14:17:22,480 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 2 with diffParam = 0.6666666666666666
2016-04-27 14:17:22,480 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-04-27 14:17:22,480 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2016-04-27 14:17:22,481 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 25.0, aFirmB: 69.0, aFirmC: 48.0, aFirmD: 25.0, aMarket: 41.75.
2016-04-27 14:17:22,481 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 60.111111111111114, oFirmB: 55.22222222222223, oFirmC: 57.55555555555556, oFirmD: 60.111111111111114.
2016-04-27 14:17:22,481 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 18.784722222222218, profitFirmB: 47.62916666666667, profitFirmC: 34.53333333333333, profitFirmD: 18.784722222222218
2016-04-27 14:17:22,482 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 25.0, aFirmB: 69.0, aFirmC: 48.0, aFirmD: 25.0.
2016-04-27 14:17:22,482 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 18.784722222222218, profitFirmB: 47.62916666666667, profitFirmC: 34.53333333333333, profitFirmD: 18.784722222222218
2016-04-27 14:17:22,482 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-04-27 14:17:22,569 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent2
2016-04-27 14:17:22,576 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent1
2016-04-27 14:17:22,641 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientclient2
2016-04-27 14:17:22,647 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientclient1
2016-04-27 14:17:22,647 PeriodThread INFO  server.ContinuousCompetitionInstitution - All clients reported ready stated. Sending start signal
2016-04-27 14:17:23,166 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent2: Set aFirmA = 41.0
2016-04-27 14:17:23,177 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 1 of 4 with countId 0 of cohort 2.
2016-04-27 14:17:23,184 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client client2: Set aFirmB = 69.0
2016-04-27 14:17:23,195 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 2 of 4 with countId 0 of cohort 2.
2016-04-27 14:17:23,203 PeriodThread INFO  server.ContinuousCompetitionInstitution - Receiving actionUpdate with countId 0 from client agent1: Set aFirmD = 41.0
2016-04-27 14:17:23,214 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received actionUpdate is number 3 of 4 with countId 0 of cohort 2.
