2016-07-06 14:37:07,460 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-06 14:37:07,487 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-06 14:38:27,779 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 3 with diffParam = 0.6666666666666666
2016-07-06 14:38:27,780 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-06 14:38:27,780 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-07-06 14:38:27,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-07-06 14:38:27,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-07-06 14:38:27,783 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-06 14:38:27,784 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-07-06 14:38:27,784 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-06 14:38:27,784 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-06 14:38:30,370 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent3). MembershipCount is set to 4.
2016-07-06 14:38:30,393 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent4). MembershipCount is set to 4.
2016-07-06 14:38:30,641 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client agent1). MembershipCount is set to 4.
2016-07-06 14:38:30,926 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client agent2). MembershipCount is set to 4.
2016-07-06 14:38:34,934 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-07-06 14:38:34,964 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 4 with diffParam = 0.6666666666666666
2016-07-06 14:38:34,965 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-06 14:38:34,965 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2016-07-06 14:38:34,966 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 35.0, aFirmB: 35.0, aFirmC: 35.0, aFirmD: 35.0, aMarket: 35.0.
2016-07-06 14:38:34,966 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 65.0, oFirmB: 65.0, oFirmC: 65.0, oFirmD: 65.0.
2016-07-06 14:38:34,967 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 28.437499999999996, profitFirmB: 28.437499999999996, profitFirmC: 28.437499999999996, profitFirmD: 28.437499999999996
2016-07-06 14:38:34,967 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 35.0, aFirmB: 35.0, aFirmC: 35.0, aFirmD: 35.0.
