2016-07-07 09:47:28,984 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:47:29,014 AWT-EventQueue-0 WARN  server.ContinuousCompetitionSubjectMatcherQuadropoly - loop index of subjectGroups 0
2016-07-07 09:49:02,508 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 9 with diffParam = 0.6666666666666666
2016-07-07 09:49:02,509 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:49:02,510 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized practice round action data.
2016-07-07 09:49:02,512 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0, aMarket: 0.0.
2016-07-07 09:49:02,512 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 100.0, oFirmB: 100.0, oFirmC: 100.0, oFirmD: 100.0.
2016-07-07 09:49:02,512 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:49:02,512 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 0.0, aFirmB: 0.0, aFirmC: 0.0, aFirmD: 0.0.
2016-07-07 09:49:02,512 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 0.0, profitFirmB: 0.0, profitFirmC: 0.0, profitFirmD: 0.0
2016-07-07 09:49:02,513 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:49:04,970 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 1 (client agent_ns2). MembershipCount is set to 4.
2016-07-07 09:49:05,093 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 2 (client agent_mo1). MembershipCount is set to 4.
2016-07-07 09:49:05,205 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 3 (client agent_mo2). MembershipCount is set to 4.
2016-07-07 09:49:05,503 PeriodThread INFO  server.ContinuousCompetitionInstitution - countPracticeFinished was updated to 4 (client agent_ns1). MembershipCount is set to 4.
2016-07-07 09:49:09,510 PeriodThread WARN  server.ContinuousCompetitionInstitution - endPeriod()
2016-07-07 09:49:09,533 PeriodThread INFO  server.ContinuousCompetitionInstitution - Started ContinuousCompetitionInstitution for cohort 10 with diffParam = 0.6666666666666666
2016-07-07 09:49:09,533 PeriodThread WARN  server.ContinuousCompetitionInstitution - startPeriod() - start of execution
2016-07-07 09:49:09,533 PeriodThread INFO  server.ContinuousCompetitionInstitution - Initialized regular round action data.
2016-07-07 09:49:09,534 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: actions - aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0, aMarket: 37.5.
2016-07-07 09:49:09,534 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: outputs - oFirmA: 62.777777777777786, oFirmB: 62.22222222222223, oFirmC: 62.22222222222223, oFirmD: 62.777777777777786.
2016-07-07 09:49:09,534 PeriodThread INFO  server.ContinuousCompetitionInstitution - After calculation of market data: profits - profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:49:09,534 PeriodThread INFO  server.ContinuousCompetitionInstitution - Action variables before initial market update: aFirmA: 35.0, aFirmB: 40.0, aFirmC: 40.0, aFirmD: 35.0.
2016-07-07 09:49:09,535 PeriodThread INFO  server.ContinuousCompetitionInstitution - Profit variables before initial market update: profitFirmA: 27.465277777777782, profitFirmB: 31.11111111111111, profitFirmC: 31.11111111111111, profitFirmD: 27.465277777777782
2016-07-07 09:49:09,535 PeriodThread INFO  server.ContinuousCompetitionInstitution - Balance variables before initial market update: balanceFirmA: 0.0, balanceFirmB: 0.0, balanceFirmC: 0.0, balanceFirmD: 0.0
2016-07-07 09:49:09,634 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_ns2
2016-07-07 09:49:09,634 PeriodThread INFO  server.ContinuousCompetitionInstitution - Received ready message from clientagent_mo2
